pdb_id,uniprot_id,protein_family,enzyme_number
2ICJ,Q13907,Belongs to the IPP isomerase type 1 family,5.3.3.2
1Q5Y,P0A6Z6,Belongs to the transcriptional regulatory CopG/NikR family,
7CHX,Q2FYM9,Belongs to the acylphosphatase family,3.6.1.7
3H04,A0A0H3JX93,,
2Q40,Q949P3,Belongs to the damage-control phosphatase family. Phosphopantetheine phosphatase II subfamily,3.1.3.-
3LB3,Q9NAV8,Belongs to the globin family,
7JPY,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
1O66,Q9JZW6,Belongs to the PanB family,2.1.2.11
2JD9,A1JSS7,,
5YSE,Q92AS8,Belongs to the bacterial solute-binding protein 1 family,
3O85,A8BMJ0,Belongs to the eukaryotic ribosomal protein eL8 family,
6LZN,P00800,Belongs to the peptidase M4 family,3.4.24.27
5Q7C,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
6ZGN,Q70CA4,,
1X6L,P07254,Belongs to the glycosyl hydrolase 18 family. Chitinase class II subfamily,3.2.1.14
3CKF,Q45040,,
3B9Y,Q82X47,,
1HT9,P02633,Belongs to the S-100 family,
5OB0,P00523,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
2B61,P45131,Belongs to the AB hydrolase superfamily. MetX family,2.3.1.31
5JUF,A0A1L1QK15,,
1M2B,O66511,Belongs to the 2Fe2S Shethna-type ferredoxin family,
5XBF,Q6PIF6,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,
5XBF,Q9Y6N9,,
3M4A,Q9RWH8,Belongs to the type IB topoisomerase family,5.6.2.1
4HBD,Q63ZY3,,
3FYR,Q7WY62,,
6TN6,A5IMX7,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
3FDJ,D0VX07,,
6G7P,Q10Z45,Belongs to the bacterial solute-binding protein 1 family,
4MR0,Q8CYC9,,
2Y8O,Q16539,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,2.7.11.24
2Y8O,P52564,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,2.7.12.2
6DOH,Q9KEI9,Belongs to the RNase H family,3.1.26.4
4TZ1,G2NFJ9,Belongs to the glycosyl hydrolase 55 family,3.2.1.58
7NH8,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
6G0B,C5BJ89,Belongs to the glycosyl hydrolase 8 (cellulase D) family,3.2.1.4
2Y1A,P25006,Belongs to the multicopper oxidase family,1.7.2.1
5E2H,A0QZC8,Belongs to the class-C beta-lactamase family,3.5.2.6
6YDI,A0A2D2D5X7,,
6YDI,P27353,Belongs to the TmoA/XamoA family,1.14.13.25
6YDI,A0A2D2D0T0,,
6YDI,P27356,Belongs to the TmoD/XamoD family,
1A4U,P10807,Belongs to the short-chain dehydrogenases/reductases (SDR) family,1.1.1.1
1Z3Y,Q8DIJ1,,
4Q6V,Q8ZQ08,Belongs to the LpoB family,
1GQ4,O14745,,
1WKQ,O34598,Belongs to the cytidine and deoxycytidylate deaminase family,3.5.4.3
2GRH,P02213,Belongs to the globin family,
1X46,Q7M421,Belongs to the globin family,
5JE6,Q9LBJ0,,
3O1N,P58687,Belongs to the type-I 3-dehydroquinase family,4.2.1.10
3SXU,P28905,Belongs to the DNA polymerase III chi/HolC chain family,2.7.7.7
3SXU,P28632,Belongs to the DNA polymerase III psi/HolD chain family,2.7.7.7
3SXU,P0AGE0,,
1H5H,P00433,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily,1.11.1.7
4AM5,K7N5M0,Belongs to the bacterioferritin family,1.16.3.1
3JQ1,A6KXE4,Belongs to the SusD family,
2XMT,P73213,,
7APH,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
4XOS,P39687,Belongs to the ANP32 family,
7ORP,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
5R1K,P33334,,
5R1K,P32357,Belongs to the AAR2 family,
1OUS,Q9HYN5,,
4FCH,G8JZT0,Belongs to the SusE family,
5IB1,P01889,,
5IB1,P61769,Belongs to the beta-2-microglobulin family,
5IB1,P32241,Belongs to the G-protein coupled receptor 2 family,
5KON,A0A172QPU7,,
3L64,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5L83,M1C146,Belongs to the ATG8 family,
6E1F,O60341,Belongs to the flavin monoamine oxidase family,1.14.99.66
2W2E,F2QVG4,Belongs to the MIP/aquaporin (TC 1.A.8) family,
3GSZ,P26661,Belongs to the hepacivirus polyprotein family,
6H1X,B4EV65,Belongs to the fimbrial protein family,
1KDB,P00644,Belongs to the thermonuclease family,3.1.31.1
7N7A,C5ZW02,,
2PBN,P23470,Belongs to the protein-tyrosine phosphatase family. Receptor class 5 subfamily,3.1.3.48
1J2U,P83772,Belongs to the creatininase superfamily,3.5.2.10
4PDM,Q81HW2,,
1H32,Q939U1,Belongs to the SoxA family,2.8.5.2
1H32,Q939U4,,
1LZ9,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3UNT,P28720,Belongs to the queuine tRNA-ribosyltransferase family,2.4.2.29
4EUK,Q3S4A7,,2.7.13.3
4EUK,Q9ZNV9,,
6Z4A,Q6UVJ0,,
6EWJ,A0A0H2URM1,Belongs to the DegT/DnrJ/EryC1 family,
6O2K,Q9VHP9,,
6SYR,B1ZMF4,,
4H6E,P28720,Belongs to the queuine tRNA-ribosyltransferase family,2.4.2.29
2ADO,Q14676,,
5M4Q,P12955,Belongs to the peptidase M24B family. Eukaryotic-type prolidase subfamily,3.4.13.9
3SO1,A6LX94,Belongs to the beta/gamma-crystallin family,
6LJC,Q94707,,
1ZU3,P45697,Belongs to the long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,
6FX9,P02791,Belongs to the ferritin family,
4HNO,Q9WYJ7,Belongs to the AP endonuclease 2 family,3.1.21.2
6SRD,A0A0S2UQQ5,Belongs to the glycosyl hydrolase 8 (cellulase D) family,3.2.1.156
3FPU,P0C8E7,Belongs to the evasin C8 family,
3FPU,P10147,Belongs to the intercrine beta (chemokine CC) family,
5B0G,I6WU39,,4.4.1.26
1DO3,P02185,Belongs to the globin family,
6N6T,Q9L4P2,Belongs to the class-D beta-lactamase family,3.5.2.6
6S18,Q88JK6,Belongs to the methyl-accepting chemotaxis (MCP) protein family,
1KW4,P39769,,
5PXS,P23497,,
4U5H,P0CB20,,
5PCK,Q9UIF8,Belongs to the WAL family,
6UAW,A0A1Y6JJH6,,
2PN2,Q4FU81,,
2Q9T,D0VWY2,Belongs to the PstS family,
6EU4,A0A218KRF6,,
1EKQ,P39593,Belongs to the Thz kinase family,2.7.1.50
3POF,Q8CHN8,Belongs to the peptidase S1 family,3.4.21.-
1F46,P77173,Belongs to the ZipA family,
5PQE,O95696,,
2NQL,A9CL63,,
2COV,Q8RS40,Belongs to the glycosyl hydrolase 26 family,3.2.1.32
4ZH6,P50120,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
2Q2F,Q9BQE4,Belongs to the selenoprotein S family,
1O4L,P12931,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
4HL9,Q2RXF1,,
2AP3,A0A0H3JVL5,,
4ZV0,Q9I739,,3.2.2.5
4ZV0,Q9I740,,
5HMM,P06229,,3.1.11.-
8VB1,P03367,,
3DQY,A5W4F0,Belongs to the bacterial ring-hydroxylating dioxygenase ferredoxin component family,
3D2A,P37957,Belongs to the AB hydrolase superfamily,
3G2S,Q9UJY5,Belongs to the GGA protein family,
3G2S,Q92673,Belongs to the VPS10-related sortilin family. SORL1 subfamily,
3KYZ,Q04804,,2.7.13.3
4DP0,P11970,Belongs to the plastocyanin family,
2P6O,Q53WB3,,
5VHG,Q9H4G4,Belongs to the CRISP family,
5YHY,Q9CDU5,,
3RLS,P53930,,
2BLQ,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
2PNY,Q9BXS1,Belongs to the IPP isomerase type 1 family,5.3.3.2
1L92,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1DVF,P01635,,
1DVF,P01820,,
1DVF,P01646,,
1DVF,A0NA69,,
4TXG,Q7NSV3,,
8PYP,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
8PDH,Q92835,"Belongs to the inositol 1,4,5-trisphosphate 5-phosphatase family",3.1.3.86
5CBY,P04150,Belongs to the nuclear hormone receptor family. NR3 subfamily,
3REE,Q9NZ45,Belongs to the CISD protein family,
7JLY,Q7MWI3,,
5AC6,P10372,Belongs to the HisA/HisF family,5.3.1.16
2WOL,Q8KRB4,,
1SD5,P9WGM3,,
5CPS,Q9LV91,Belongs to the disproportionating enzyme family,2.4.1.25
3D79,O58465,,
1UQR,P43877,Belongs to the type-II 3-dehydroquinase family,4.2.1.10
7B0W,P31697,Belongs to the periplasmic pilus chaperone family,
7B0W,P39264,Belongs to the fimbrial protein family,
5Q3C,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
2O3J,Q19905,Belongs to the UDP-glucose/GDP-mannose dehydrogenase family,1.1.1.22
1YYA,Q5SJR1,Belongs to the triosephosphate isomerase family,5.3.1.1
5UEB,B4RJ46,,
5AQ0,O75976,Belongs to the peptidase M14 family,3.4.17.22
6SIG,H9BG66,,
2OKT,A0A0H2WWB5,Belongs to the mandelate racemase/muconate lactonizing enzyme family. MenC type 2 subfamily,4.2.1.113
5R42,P00766,Belongs to the peptidase S1 family,3.4.21.1
2P49,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
2P49,A2KD57,,
1ZZ0,Q70I53,Belongs to the histone deacetylase family,3.5.1.-
3MOY,A0R747,Belongs to the enoyl-CoA hydratase/isomerase family,
3DH5,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
1T6C,O67040,,
4MN0,H8ZZK1,,
2ODF,A9CI91,,
5FGC,P27958,Belongs to the hepacivirus polyprotein family,
5P7L,P11838,Belongs to the peptidase A1 family,3.4.23.22
6KEO,Q7JYX0,Belongs to the GST superfamily. Epsilon family,2.5.1.18
1MFL,Q96RT1,Belongs to the LAP (LRR and PDZ) protein family,
1MFL,P04626,Belongs to the protein kinase superfamily. Tyr protein kinase family. EGF receptor subfamily,2.7.10.1
4N9R,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2VLG,P16497,,2.7.13.3
1RA0,P25524,Belongs to the metallo-dependent hydrolases superfamily. Cytosine deaminase family,3.5.4.1
5WWW,Q5U5Q3,,2.3.2.27
4RDC,Q3MFZ5,Belongs to the leucine-binding protein family,
1EBT,P41260,Belongs to the globin family,
2X8X,Q8DI03,,
4YLD,A0A0M3KL30,,
3WNJ,A4IL26,Belongs to the multicopper oxidase family,1.7.2.1
1SRV,P61491,Belongs to the chaperonin (HSP60) family,5.6.1.7
1JK2,P08046,Belongs to the EGR C2H2-type zinc-finger protein family,
2X1J,Q9RW27,,
1ZZW,Q9Y6W6,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,3.1.3.16; 3.1.3.48
1OCY,P10930,Belongs to the tevenvirinae short tail fiber protein family,
8OT5,Q8WZ42,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.1
6QJK,P78352,Belongs to the MAGUK family,
1O9I,P60355,Belongs to the manganese catalase family,1.11.1.6
3QU2,Q8A5V9,,
2XIT,A0A0H3CA70,,
5OLQ,Q8A051,Belongs to the polysaccharide lyase 9 family,
7ONP,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
4MNW,P00749,Belongs to the peptidase S1 family,3.4.21.73
5P56,P11838,Belongs to the peptidase A1 family,3.4.23.22
5HRJ,Q2VL90,,
1MD6,Q9QYY1,Belongs to the IL-1 family,
4QVF,Q07817,Belongs to the Bcl-2 family,
4QVF,O43521,Belongs to the Bcl-2 family,
3K1E,Q6Y2R8,Belongs to the PBP/GOBP family,
6DI2,C7GP29,Belongs to the eukaryotic-type primase large subunit family,
3DAN,Q40778,Belongs to the cytochrome P450 family,4.2.1.92
5OZK,P11838,Belongs to the peptidase A1 family,3.4.23.22
2B9D,P06465,Belongs to the papillomaviridae E7 protein family,
3VKE,Q15365,,
1L05,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
8UK7,P0AE82,,2.7.13.3
7N3A,P22914,Belongs to the beta/gamma-crystallin family,
1U0K,Q9HV82,Belongs to the PhzF family,
4A1R,G5EA77,,
3WL4,Q8U3V1,,
4EXY,C7C422,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
6EEP,Q5ZZB7,Belongs to the ribose 5-phosphate isomerase family,5.3.1.6
2NT3,O68522,,
5JOW,A7LXT8,Belongs to the glycosyl hydrolase 43 family,3.2.1.55
3CSQ,P15132,,
2V2N,P02791,Belongs to the ferritin family,
2AUW,Q82X29,,
4LYL,Q9I983,Belongs to the uracil-DNA glycosylase (UDG) superfamily. UNG family,3.2.2.27
4LYL,P14739,,
3Q6A,Q49US3,Belongs to the AHA1 family,
3HN5,Q5LIG1,,
4V4M,P03606,,
5HP4,P06229,,3.1.11.-
6ZHK,Q58696,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family. BioA subfamily,2.6.1.62
1CJD,P22535,,
2HHP,P29468,Belongs to the poly(A) polymerase family,2.7.7.19
2R8Y,P67653,Belongs to the KdsC family,3.1.3.45
4ME3,Q9HK10,Belongs to the MCM family,3.6.4.12
3KG9,Q6DNE2,,
5I4H,P07711,Belongs to the peptidase C1 family,3.4.22.15
2VXR,Q60393,Belongs to the peptidase M27 family,
1FXP,O66496,Belongs to the KdsA family,2.5.1.55
3B8B,Q8AAQ3,Belongs to the inositol monophosphatase superfamily. CysQ family,3.1.3.7
5L4Z,P49902,Belongs to the 5'(3')-deoxyribonucleotidase family,3.1.3.5; 3.1.3.99
1TZX,Q9X286,Belongs to the NusB family,
7MHF,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
5PFY,Q9UIF8,Belongs to the WAL family,
6VLB,A0A0U1RGY0,Belongs to the UDP-N-acetylglucosamine 2-epimerase family,5.1.3.14
4DNF,A0A0H2ZD27,,
5J57,P02879,,
3PRT,P29068,Belongs to the peptidase M14 family,3.4.17.18
5PTS,O95696,,
4U1H,P01889,,
4U1H,P61769,Belongs to the beta-2-microglobulin family,
4U1H,P04585,,
7A2O,P06241,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
3IXM,Q05115,,4.1.1.76
1LAX,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
1EGQ,P06873,Belongs to the peptidase S8 family,3.4.21.64
1O7Z,P02778,Belongs to the intercrine alpha (chemokine CxC) family,
2NML,P84090,Belongs to the E(R) family,
3SKX,O30085,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,7.2.2.9
4ZD6,Q46347,Belongs to the short-chain dehydrogenases/reductases (SDR) family,
1PWA,O95750,Belongs to the heparin-binding growth factors family,
7OES,P25440,Belongs to the BET family,
2B7U,P84786,Belongs to the ribosome-inactivating protein family. Type 1 RIP subfamily,3.2.2.22
6MGY,C7C422,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
4QMI,Q14008,Belongs to the TOG/XMAP215 family,
6Y24,Q96AE4,,
2G29,P73452,Belongs to the CmpA/NrtA family,
3OOO,Q8E0M4,Belongs to the peptidase M24B family,
4JSB,Q47NQ8,Belongs to the enoyl-CoA hydratase/isomerase family,
3HUH,Q8ZM36,,
4MST,Q949H3,Belongs to the glycosyl hydrolase 19 family. Chitinase class I subfamily,
2P2O,Q75TD0,Belongs to the transferase hexapeptide repeat family,
1DYT,P12724,Belongs to the pancreatic ribonuclease family,3.1.27.-
3BN6,Q95114,,
7KIJ,D2JZX8,Belongs to the nanoviruses/circoviruses replication-associated protein family,
157L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6YX8,A0A4Y5PW22,Belongs to the phycobiliprotein family,
6YX8,A0A4Y5PW23,Belongs to the phycobiliprotein family,
1BZ1,P69905,Belongs to the globin family,
1BZ1,P68871,Belongs to the globin family,
1L52,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
2TRH,P02766,Belongs to the transthyretin family,
7NWV,P04062,Belongs to the glycosyl hydrolase 30 family,3.2.1.45
1U5H,P9WPE1,Belongs to the HpcH/HpaI aldolase family. Citrate lyase beta subunit-like subfamily,4.1.-.-
5Q6Q,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
3WQ1,Q9V2T0,Belongs to the glycosyl hydrolase 12 (cellulase H) family,
1YGG,A6VKV4,Belongs to the phosphoenolpyruvate carboxykinase (ATP) family,4.1.1.49
4EHN,P42574,Belongs to the peptidase C14A family,3.4.22.56
3HE8,A3DIL8,Belongs to the LacAB/RpiB family,
6K0S,A0A068PS59,,
6ZTV,P21179,Belongs to the catalase family. HPII subfamily,1.11.1.6
4QK3,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
3AK1,Q9Y8H8,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
1M1P,Q8EDL6,,
3CXN,Q09065,Belongs to the UreF family,
2H5C,P00778,Belongs to the peptidase S1 family,3.4.21.12
3QZV,Q12830,Belongs to the PBTF family,
3QZV,P62805,Belongs to the histone H4 family,
2ZIJ,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1T9Q,P00268,Belongs to the rubredoxin family,
2OGT,Q8GCC7,Belongs to the type-B carboxylesterase/lipase family,3.1.1.-
5FJQ,B3PJ79,,
1MIZ,P05106,Belongs to the integrin beta chain family,
1MIZ,P54939,,
6BA9,A0A061LQM0,Belongs to the thioesterase family,
6DNV,C6S7X6,Belongs to the thioredoxin family. DsbD subfamily,1.8.1.8
8ORK,O93732,"Belongs to the cyclic 2,3-diphosphoglycerate synthetase family",6.5.1.9
5MRR,D2K8B3,Belongs to the peptidase S1 family,
2ZWD,Q83WS2,Belongs to the tyrosinase family,
2ZWD,Q83WS1,Belongs to the melC1 family,
5FCC,C3K802,,
5P3L,P11838,Belongs to the peptidase A1 family,3.4.23.22
6KAO,P69905,Belongs to the globin family,
6KAO,P68871,Belongs to the globin family,
3IAV,Q9X4K7,,
6BO3,Q6Q0L4,,
5ICU,A0A158RFT6,,
3BGO,P00782,Belongs to the peptidase S8 family,3.4.21.62
3L7X,Q8DVQ8,,
4IU5,Q6TUJ5,Belongs to the arginase family,3.5.3.1
3PIW,A8E6E2,Belongs to the alpha/beta interferon family,
4YOR,A0A060P168,,
2DQD,P01823,,
2DQD,Q65ZI1,,
2DQD,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2GQV,P00383,,1.5.1.3
3BUI,Q24451,Belongs to the glycosyl hydrolase 38 family,3.2.1.114
3PBI,P9WHU5,Belongs to the peptidase C40 family,3.4.-.-
1IFC,P02693,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
4LN9,O54593,,
1PND,P00299,Belongs to the plastocyanin family,
5AMW,D0E0C6,Belongs to the BetVI family,
5SBF,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
5R0Y,P33334,,
5R0Y,P32357,Belongs to the AAR2 family,
2F6G,O68014,Belongs to the LysR transcriptional regulatory family,
4HR0,Q5KW80,Belongs to the ribonucleoside diphosphate reductase small chain family. R2-like ligand binding oxidase subfamily,
4F8F,P01308,Belongs to the insulin family,
5OHQ,O00267,Belongs to the SPT5 family,
5FV5,C4R2D7,Belongs to the flocculin family. Highly divergent,
5P16,P11838,Belongs to the peptidase A1 family,3.4.23.22
4OZ1,Q14498,Belongs to the splicing factor SR family,
4OZ1,O75533,Belongs to the SF3B1 family,
6Y71,P19573,Belongs to the NosZ family,1.7.2.4
1DPW,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3OTL,Q1MFM4,Belongs to the AHA1 family,
5ZXA,P9WIR7,Belongs to the Apa family,
7BN1,Q00610,Belongs to the clathrin heavy chain family,
7BN1,Q9PY83,Belongs to the orthoreovirus mu-NS protein family,
2W1S,P26831,Belongs to the glycosyl hydrolase 84 family,3.2.1.35
5C2Z,L0RUV7,Belongs to the peptidase S1B family,3.4.21.-
1KXX,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6I8C,P01887,Belongs to the beta-2-microglobulin family,
7N6O,G8LU16,,
1U3Y,P25799,,
1RKQ,P0A8Y5,Belongs to the HAD-like hydrolase superfamily. Cof family,3.1.3.23
5A37,P35609,Belongs to the alpha-actinin family,
4J73,P41811,Belongs to the WD repeat COPB2 family,
4J73,Q3T133,Belongs to the EMP24/GP25L family,
8Q58,A0A2A2MA06,,
1KQJ,P17802,Belongs to the Nth/MutY family,3.2.2.31
1YSR,P9WGK7,,2.7.13.3
4Z1P,Q8E589,,
4ETY,Q8BG84,,
6PXN,P48730,Belongs to the protein kinase superfamily. CK1 Ser/Thr protein kinase family. Casein kinase I subfamily,2.7.11.1
6Z3O,Q9I686,,
4E5A,Q16539,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,2.7.11.24
1C5H,P09850,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
3CAW,Q6MQC7,Belongs to the mandelate racemase/muconate lactonizing enzyme family. MenC type 1 subfamily,4.2.1.113
5YGB,Q9VQ91,Belongs to the Tdrkh family,
1F5Z,P44539,Belongs to the DapA family. NanA subfamily,4.1.3.3
4LGR,P02879,,
7CJO,P24300,Belongs to the xylose isomerase family,5.3.1.5
5UMM,Q00987,Belongs to the MDM2/MDM4 family,2.3.2.27
3V43,Q92794,Belongs to the MYST (SAS/MOZ) family,2.3.1.48
3V43,P68431,Belongs to the histone H3 family,
4QB6,H6WCZ0,Belongs to the glycosyl hydrolase 30 family,
5ZH1,C7C422,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
4WWB,P37975,,
4LUL,P83194,Belongs to the archaeal-type GPI family,5.3.1.9
1T0T,Q5KUD5,Belongs to the ChdC family. Type 1 subfamily,1.3.98.5
2EYF,P00644,Belongs to the thermonuclease family,3.1.31.1
6K5P,B0X223,,3.2.1.20
7FCS,P02649,Belongs to the apolipoprotein A1/A4/E family,
2HYX,P9WG63,,
6OGO,A0A1M2CSI6,,
1M6M,P02189,Belongs to the globin family,
6DEY,A0A1V3U2Z4,,
6FU3,Q5F5Z9,,
8Y9W,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2XV2,P00282,,
1HV0,P09850,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
3VZ7,P0A6F5,Belongs to the chaperonin (HSP60) family,5.6.1.7
5TQV,A0A0H3KHT8,,
1B2C,P01315,Belongs to the insulin family,
4G2N,Q120R1,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,
1E2U,P31101,Belongs to the HCP family,1.7.99.1
1TVX,P02775,Belongs to the intercrine alpha (chemokine CxC) family,
6IN7,P38107,Belongs to the RseA family,
6IN7,Q06198,Belongs to the sigma-70 factor family. ECF subfamily,
5PBY,Q9UIF8,Belongs to the WAL family,
4BR1,P60174,Belongs to the triosephosphate isomerase family,5.3.1.1
3MNB,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
1IRN,P00268,Belongs to the rubredoxin family,
3WVU,P02791,Belongs to the ferritin family,
3WAM,Q9BXW4,Belongs to the ATG8 family,
6ULK,C1K0Y1,Belongs to the MHC class I family,
6ULK,P61769,Belongs to the beta-2-microglobulin family,
6ULK,P01111,Belongs to the small GTPase superfamily. Ras family,3.6.5.2
3UW2,Q2SYG4,Belongs to the phosphohexose mutase family,
1WMH,P41743,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,2.7.11.13
1WMH,Q9NPB6,Belongs to the PAR6 family,
2EW0,Q6FF54,Belongs to the UPF0301 (AlgH) family,
1LKR,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
7QC3,Q9X0C6,Belongs to the HisA/HisF family,4.3.2.10
6OE9,P0DOV2,Belongs to the HIN-200 family,
4D74,Q46630,Belongs to the low molecular weight phosphotyrosine protein phosphatase family,3.1.3.48
6QRV,P24300,Belongs to the xylose isomerase family,5.3.1.5
5ZVR,P25081,Belongs to the mannose-6-phosphate isomerase type 1 family,5.3.1.8
3EXD,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3R3W,Q6NAM1,Belongs to the AB hydrolase superfamily. Epoxide hydrolase family,3.8.1.3
4MAZ,O06994,Belongs to the glycosyl hydrolase 13 family,3.2.1.10
7DDW,A0A1E5TT85,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
2B3U,P21673,Belongs to the acetyltransferase family,2.3.1.57
4OQ4,Q99497,Belongs to the peptidase C56 family,
1K7Q,P16317,Belongs to the peptidase M10B family,3.4.24.40
6OS3,A8M6W6,,
5VGU,K9Y6N7,Belongs to the bacterial microcompartments protein family. CcmK subfamily,
5ZOD,P39748,Belongs to the XPG/RAD2 endonuclease family. FEN1 subfamily,3.1.-.-
3FY3,P16466,,
6G71,A0A4V8GZW5,Belongs to the cytochrome P450 family,
4XQJ,Q5HEG2,,
3TF3,P05089,Belongs to the arginase family,3.5.3.1
7DRQ,A0A0J8GWN9,,
2QUD,P03630,Belongs to the Leviviricetes capsid protein family,
5G1L,P77202,Belongs to the thioredoxin family. DsbC subfamily,
1DUT,P16088,Belongs to the retroviral Pol polyprotein family,
1RBT,P0A7Y4,Belongs to the RNase H family,3.1.26.4
6TIF,P60357,Belongs to the UPF0297 family,
6J05,B7J952,,
5S41,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
1L12,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3A65,P07061,,3.5.1.46
3A65,P07062,,3.5.1.46
6UJ5,Q04430,Belongs to the type II pantothenate kinase family,2.7.1.33
5EJ3,P26515,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
6WBJ,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
6WBJ,Q9Z0J1,Belongs to the RECK family,
2EBO,Q05320,Belongs to the filoviruses glycoprotein family,
2O2X,Q98I56,Belongs to the gmhB family,3.1.3.82
4Z6M,Q45135,,
4EYV,C6KGV3,Belongs to the cyclophilin-type PPIase family,5.2.1.8
5UDP,P01308,Belongs to the insulin family,
2EPI,Q58452,Belongs to the UPF0045 family,
1NTE,O00560,,
1QTW,P0A6C1,Belongs to the AP endonuclease 2 family,3.1.21.2
3X1E,A4IL26,Belongs to the multicopper oxidase family,1.7.2.1
3OI9,A0A0H2ZWD1,,
2XM5,Q8GHB2,Belongs to the aromatic prenyltransferase family,2.5.1.111
5P6Z,P11838,Belongs to the peptidase A1 family,3.4.23.22
6MT7,Q06KA2,Belongs to the PBP/GOBP family,
5KA5,P04578,Belongs to the HIV-1 env protein family,
6VTM,P08311,Belongs to the peptidase S1 family,3.4.21.20
6VTM,A0A0H3K0M1,,
2DTR,P0DJL7,Belongs to the DtxR/MntR family,
1BVX,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6OZF,Q9X2H9,Belongs to the endonuclease V family,3.1.21.7
4RXY,Q9HVB9,Belongs to the beta-class carbonic anhydrase family,4.2.1.1
4R9A,P17931,,
1P9H,P31489,Belongs to the autotransporter-2 (AT-2) (TC 1.B.40) family,
7BLG,Q8A3D9,,
6EI1,Q96AP4,Belongs to the peptidase C78 family. ZUFSP subfamily,3.4.19.12
6EI1,P0CG47,Belongs to the ubiquitin family,
5A1M,Q9Y6U3,Belongs to the villin/gelsolin family,
