uniprot_id,frequency,pdb_ids
O95714,2,"3KCI,7Q42"
O95721,1,4WY4
O95727,1,4H5S
O95747,2,"2V3S,7OKW"
O95750,2,"1PWA,2P23"
O95786,1,7BAH
O95793,1,4DKK
O95801,1,6HFO
O95819,1,4U3Y
O95833,2,"3FY7,3KJY"
O95835,1,7LWH
O95881,1,1SEN
O95931,1,3GS2
O95970,1,5Y30
O95971,2,"6NG9,6NGG"
O96028,1,5VC8
O96048,2,"2DRY,2ZQN"
O96438,7,"1EWX,1EZK,1O7U,1O85,1O8W,1O8X,1QK8"
O96445,2,"4UUL,4UUM"
O96507,1,2J1Q
O96935,1,5Y1W
O97111,1,5I7Z
O97143,1,5LHX
O97791,1,2RIK
P00003,1,5DFS
P00004,8,"1HRC,1WEJ,3O1Y,3O20,3WC8,3WUI,6K9I,6K9J"
P00015,1,2AIU
P00044,7,"1S6V,2BCN,4MU8,4Q5P,5KKE,5T8W,6P43"
P00083,2,"1CO6,1IO3"
P00091,4,"1FJ0,1HH7,1I8O,1I8P"
P00096,1,1COT
P00099,6,"2EXV,351C,3X39,451C,5XEC,5XED"
P00106,1,6Q2U
P00120,1,1C53
P00131,1,2CTH
P00132,12,"1J0O,1J0P,1WR5,2CDV,2EWI,2EWK,2EWU,2FFN,2YXC,2YYW,2YYX,2Z47"
P00133,1,1WAD
P00136,1,2CY3
P00137,1,1HH5
P00138,35,"1CGO,1E84,1E85,1E86,2XL6,2XL8,2XLD,2XLE,2XLH,2XLM,2XLO,2XLV,2XLW,2XM0,2XM4,2YLI,3ZQV,3ZQY,3ZTM,3ZTZ,4CDA,4CDV,4CDY,4CJG,4CJO,4D4N,4D4X,4WGY,4WGZ,5AGF,5JP7,5JUA,5JVE,5NC0,5NGX"
P00142,2,"2J8W,2J9B"
P00147,1,1CPQ
P00148,1,1GQA
P00149,1,1MQV
P00152,1,2CCY
P00154,2,"1BBH,5GYR"
P00171,10,"1CYO,1EHB,1LQX,1LR6,1M20,1M2I,1M2M,1M59,1U9U,3OZZ"
P00172,4,"3X32,3X33,3X34,3X35"
P00178,2,"1PO5,3MVR"
P00183,9,"1CP4,1GEK,1PHC,2H7Q,3L61,3L62,3P6Q,3P6U,5GXG"
P00198,3,"1FCA,1FDN,2FDN"
P00208,2,"3EUN,3EXY"
P00209,1,1FXD
P00214,15,"1D3W,1F5B,1F5C,1FD2,1FDD,1G3O,1G6B,1PC4,1PC5,2FD2,5FD1,6FD1,6FDR,7FD1,7FDR"
P00215,1,2V2K
P00217,1,1DOI
P00221,1,1A70
P00235,1,1FRR
P00248,1,1RFK
P00250,1,3AV8
P00257,2,"1AYF,2BT6"
P00259,6,"1OQQ,1OQR,1R7S,1XLO,1XLQ,5GXG"
P00260,3,"1B0Y,1CKU,1JS2"
P00268,21,"1B13,1B2J,1B2O,1BE7,1C09,1FHH,1FHM,1IRN,1IRO,1R0F,1R0G,1R0H,1R0I,1SMM,1SMU,1SMW,1T9P,1T9Q,2PVE,4RXN,5RXN"
P00269,1,8RXN
P00270,2,"1RDG,2DSX"
P00273,2,"1CFW,1DXG"
P00276,1,1ABA
P00280,6,"1A4A,1A4B,1AIZ,1AZC,1URI,2AZA"
P00282,48,"1CC3,1E65,1GR7,1JZF,1JZG,1JZI,1JZJ,1R1C,1VLX,1XB3,1XB6,2AZU,2FNW,2FT6,2FT7,2FT8,2FTA,2GHZ,2GI0,2HX7,2HX8,2HX9,2I7S,2XV0,2XV2,3FQ1,3FQ2,3FQY,3FS9,3FSA,3FT0,3IBO,3JTB,3N2J,3U25,3UGE,4AZU,4JKN,4KO5,4KO6,4KOB,4KOC,4MFH,4QKT,4WKX,5AZU,5YT7,6GYI"
P00289,3,"1AG6,1TEF,1TEG"
P00299,14,"1JXG,1PLC,1PNC,1PND,2PCY,3PCY,4DP7,4DP8,4DP9,4DPA,4DPB,4DPC,5PCY,6PCY"
P00303,1,2CBP
P00306,2,"3BRP,3KVS"
P00311,2,"3BRP,3KVS"
P00327,2,"1YE3,5VJ5"
P00346,1,1MLD
P00350,1,2ZYD
P00352,1,4WJ9
P00383,6,"1VIE,2GQV,2RH2,3SFM,6NXZ,6NY0"
P00431,83,"1BVA,1CCA,1CMP,1DJ1,1DJ5,1JCI,1JDR,1KXM,1KXN,1MK8,1MKQ,1MKR,1ML2,1RYC,1S6V,1S73,1SBM,1SDQ,1SOG,1STQ,1Z53,1ZBY,1ZBZ,2ANZ,2AQD,2AS1,2AS2,2AS3,2AS6,2BCN,2CYP,2EUN,2EUO,2EUP,2EUQ,2EUR,2EUS,2EUT,2EUU,2IA8,2ICV,2RBT,2RBU,2RBV,2RBX,2RBY,2RBZ,2RC0,2RC2,2V23,2X07,2XIL,2XJ5,2XJ8,2Y5A,2YCG,3E2N,3E2O,3M23,3M25,3M26,3M27,3M28,3M29,3M2A,3M2B,3M2C,3M2D,3M2E,3M2F,3M2G,3M2H,3M2I,4A71,4A7M,4CCX,4XV6,4XV8,5D6M,5EJT,5EJX,6P43,7BIU"
P00432,3,"3RE8,3RGP,3RGS"
P00433,20,"1GWU,1H55,1H57,1H58,1H5A,1H5C,1H5D,1H5E,1H5F,1H5G,1H5H,1H5I,1H5J,1H5K,1H5L,1H5M,1HCH,1W4W,1W4Y,2YLJ"
P00436,8,"3LKT,3MI1,3MI5,3MV4,3T63,3T67,4WHO,4WHP"
P00437,8,"3LKT,3MI1,3MI5,3MV4,3T63,3T67,4WHO,4WHP"
P00439,2,"1J8T,6HPO"
P00441,56,"1AZV,1HL4,1HL5,1MFM,1N19,1OZU,1P1V,1PTZ,1PU0,1UXL,1UXM,2C9S,2C9U,2C9V,2GBT,2V0A,2VR6,2VR7,2VR8,2WKO,2WYT,2XJK,2XJL,2ZKW,3CQP,3CQQ,3ECU,3ECV,3GZQ,3H2P,3H2Q,3K91,3QQD,4BCY,4BCZ,4NIN,4NIO,4NIP,5J0C,5J0F,5K02,5WMJ,5YUL,6FLH,6SPA,6Z3V,6Z4G,6Z4H,6Z4I,6Z4J,6Z4K,6Z4L,6Z4M,6Z4O,7FB6,8Q6M"
P00442,13,"1CBJ,1E9O,1E9P,1E9Q,1Q0E,1SXA,1SXC,1SXN,2AEO,2Z7W,2Z7Y,2Z7Z,2ZOW"
P00445,9,"1B4L,1B4T,1F18,1F1A,1F1G,1JCV,1YAZ,1YSO,2JCW"
P00446,3,"1OAJ,1OAL,1YAI"
P00447,1,3RN4
P00448,7,"1D5N,1I0H,1IX9,1IXB,1ZLZ,3K9S,3OT7"
P00451,2,"1D7P,3HNY"
P00456,1,1CP2
P00459,2,"6N4J,6N4K"
P00466,1,1H1L
P00480,1,1C9Y
P00489,1,7Q5I
P00492,1,1Z7G
P00519,25,"1BBZ,2O88,3EG1,3EG2,3EG3,3K2M,3UYO,4J9B,4J9C,4J9D,4J9E,4J9F,4J9G,4J9H,4JJB,4JJC,4JJD,5DC4,5DC9,5OAZ,7PVQ,7PVR,7PVS,7PVV,7PW2"
P00520,1,5IH2
P00523,48,"1F2F,3FJ5,4HVU,4HVV,4HVW,4JZ3,4JZ4,4LE9,4OML,4OMM,4OMN,4OMO,4QT7,4RTV,4RTW,4RTX,4RTY,4RTZ,5EC7,5ECA,5I11,5OAV,5OB0,5OB1,5OB2,6XVM,6XVN,6XVO,7A30,7A31,7A32,7A33,7A34,7A35,7A36,7A37,7A38,7A39,7A3A,7A3B,7A3C,7A3E,7NER,7NES,7NET,7PVW,7PVY,7PW0"
P00526,1,5YMW
P00533,2,"3G5Y,4WRG"
P00550,1,1A3A
P00557,1,3W0M
P00558,1,8YHP
P00561,1,6MX1
P00586,3,"1RHS,2ORA,8Q5Z"
P00588,1,4AE0
P00590,27,"1AGY,1CEX,1CUA,1CUB,1CUC,1CUF,1CUG,1CUH,1CUJ,1CUS,1CUU,1CUX,1CUY,1FFA,1FFB,1FFC,1FFD,1FFE,1XZA,1XZB,1XZE,1XZF,1XZG,1XZH,1XZI,1XZJ,2CUT"
P00593,25,"1BP2,1BPQ,1C74,1CEH,1G4I,1GH4,1IRB,1KVW,1KVX,1KVY,1MKS,1MKT,1MKU,1O3W,1UNE,1VKQ,1VL9,2BAX,2BCH,2BD1,2BPP,2ZP3,2ZP4,2ZP5,4BP2"
P00598,1,1POA
P00608,1,4E4C
P00626,1,3G8G
P00634,9,"1ED8,1ED9,1Y6V,1Y7A,3BDF,3BDG,3BDH,3TG0,7N6M"
P00641,1,1M0D
P00642,2,"1CKQ,2OXV"
P00644,63,"1EQV,1EY0,1EY4,1EY5,1EY6,1EY7,1EY8,1EY9,1EYC,1EYD,1EZ6,1EZ8,1F2Z,1IHZ,1II3,1KAA,1KAB,1KDA,1KDB,1SND,1SNO,1SNP,1SNQ,1STN,1SYC,1SYE,1SYG,2EXZ,2EY1,2EY2,2EY6,2EYF,2EYH,2EYJ,2EYL,2EYM,2EYO,2EYP,2F0E,2F0G,2F0I,2F0J,2F0K,2F0L,2F0N,2F0O,2F0Q,2F0S,2F0T,2F0U,3DMU,3EJI,3SK8,3T13,3T16,3U9O,4EVO,4G57,4H7B,4I65,4ID6,4K14,4QB4"
P00648,14,"1A2P,1B20,1B2S,1B2X,1BRI,1BRN,1RNB,1X1Y,2C4B,2F56,2F5M,2ZA4,3KCH,6PQK"
P00649,2,"1GOU,4HAA"
P00651,9,"1Q9E,1RN1,1RN4,2AAE,3RNT,4BIR,4ODK,8RNT,9RNT"
P00654,2,"1RTU,3AHS"
P00669,1,1BSR
P00690,2,"1KXQ,1KXV"
P00692,3,"1E3X,1E43,3BH4"
P00693,2,"1HT6,3BSG"
P00698,649,"193L,194L,1A2Y,1AKI,1AZF,1B2K,1BGI,1BVX,1BWH,1BWI,1BWJ,1DPW,1DPX,1F0W,1F10,1FLQ,1FLU,1FLW,1FLY,1FN5,1G7H,1G7I,1G7J,1G7M,1GPQ,1GWD,1H87,1HC0,1HEL,1HEM,1HEN,1HEO,1HEP,1HEQ,1HER,1HF4,1HSX,1IEE,1IOQ,1IOR,1IOS,1IOT,1IR7,1IR8,1IR9,1J1O,1J1P,1J1X,1JIS,1JIT,1JIY,1JJ0,1JJ1,1JJ3,1KIQ,1KXW,1KXX,1KXY,1LCN,1LJ4,1LJF,1LJG,1LJH,1LKR,1LKS,1LMA,1LSA,1LSB,1LSC,1LSD,1LSE,1LSF,1LSM,1LSN,1LSY,1LYO,1LYS,1LZ8,1LZ9,1LZA,1LZD,1LZT,1N4F,1NBY,1NBZ,1NDG,1QIO,1RCM,1RFP,1RI8,1RJC,1SQ2,1T6V,1UA6,1UIA,1UIC,1UID,1UIE,1UIF,1UIG,1UUZ,1V7S,1V7T,1VAT,1VAU,1VDP,1VDQ,1VDS,1VDT,1VED,1VFB,1W6Z,1WTM,1WTN,1XFP,1YKX,1YKY,1YKZ,1YL0,1YL1,1YQV,1Z55,1ZVH,1ZVY,2A7D,2A7F,2AUB,2BLX,2BLY,2BPU,2C8O,2C8P,2CGI,2D4I,2D4J,2D4K,2D6B,2DQC,2DQD,2DQE,2DQJ,2EIZ,2F2N,2F30,2F4A,2F4G,2FBB,2G4P,2G4Q,2HU3,2HUB,2I25,2I6Z,2LYO,2LZT,2Q0M,2VB1,2W1L,2W1M,2W1X,2W1Y,2X0A,2XBR,2XBS,2XJW,2YVB,2Z12,2Z18,2Z19,2ZQ3,3A3R,3A67,3A6B,3A6C,3A8Z,3A90,3A91,3A92,3A93,3A95,3A96,3AGG,3AGH,3ATN,3AZ4,3AZ6,3B72,3D9A,3EXD,3IJU,3IJV,3KAM,3LYO,3LYT,3LZT,3M18,3N9A,3N9C,3N9E,3OJP,3OK0,3P4Z,3P64,3P66,3P68,3QY4,3RNX,3RT5,3RU5,3RW8,3RZ4,3SP3,3TMU,3TMV,3TMW,3TMX,3TXB,3TXD,3TXF,3TXG,3TXH,3TXI,3ULR,3W6A,3WL2,3WMK,3WVX,3WW5,3WW6,3ZEK,4A7D,4AGA,4AXT,4B0D,4B1A,4B49,4B4E,4B4I,4B4J,4BS7,4CJ2,4D9Z,4DD0,4DD2,4DD7,4DD9,4DDC,4DT3,4E3U,4ET8,4ET9,4ETA,4ETB,4ETC,4ETD,4ETE,4GCB,4GN3,4GN4,4GN5,4H8X,4H8Y,4H8Z,4H90,4H91,4H92,4H93,4H94,4H9A,4H9B,4H9C,4H9E,4H9F,4H9H,4H9I,4HTK,4HTN,4HTQ,4II8,4J1A,4J1B,4J7V,4LFP,4LGK,4LYB,4LYC,4LYT,4LZT,4MR1,4N1C,4N9R,4NEB,4NFV,4NG1,4NG8,4NGI,4NGJ,4NGK,4NGL,4NGO,4NGV,4NGW,4NGY,4NGZ,4NHI,4NHS,4NIJ,4NSJ,4NWE,4NWH,4NY5,4OOT,4OWA,4OWB,4OWC,4OWE,4P2E,4PPO,4QEQ,4R0F,4RDS,4RLM,4RW1,4TSB,4TSC,4TWS,4UWN,4UWU,4UWV,4W96,4WG1,4WG7,4WL6,4WL7,4WLD,4WLT,4WLX,4WLY,4WM1,4WM2,4WM3,4WM4,4WM5,4WM6,4WO9,4WOA,4XJB,4XJD,4XJF,4XJG,4XN6,4YEM,4YEO,4Z46,4Z98,4ZEE,4ZFP,4ZIX,5A3Z,5AMY,5APC,5APD,5APE,5APF,5B05,5B06,5B07,5C6I,5D5C,5D5F,5DL9,5DLA,5E4P,5EBH,5F14,5F16,5F9U,5F9X,5FCP,5FDJ,5FEK,5FEL,5FST,5HLL,5HMJ,5HMV,5HNC,5HQ1,5I4W,5I4X,5I4Y,5I53,5I54,5I5Q,5IDD,5IHG,5II3,5ILC,5ILF,5K2K,5K2N,5K2P,5K2Q,5K2R,5K2S,5KJ9,5KKI,5KXK,5KXL,5KXM,5KXN,5KXO,5KXP,5KXR,5KXS,5KXT,5KXW,5KXX,5KXY,5KXZ,5KY1,5L3H,5L3I,5L9J,5LA5,5LAF,5LAG,5LAN,5LIN,5LIO,5LVH,5LVI,5LVJ,5LXW,5LYM,5LYT,5M1Y,5MJJ,5MYY,5NE0,5NJM,5O6Q,5OB8,5OER,5OLE,5OOV,5OOY,5TK0,5WR9,5WRA,5YIN,5YKY,6A10,6A4N,6A4O,6A4P,6A4Q,6ABN,6ABZ,6AC2,6ADF,6AGR,6AHL,6B7U,6B7V,6B7W,6BRE,6F1L,6F1M,6F1O,6F1P,6F1R,6F2K,6F9X,6F9Y,6F9Z,6FA0,6FRQ,6FSJ,6FTR,6G5C,6G5V,6G5Y,6G8A,6GOI,6H0L,6IG6,6IRJ,6JB2,6JB5,6JB8,6JXP,6JXQ,6KCB,6KCD,6KD1,6LL3,6LT5,6LYT,6MUZ,6O2H,6P4B,6P4D,6Q88,6Q8R,6Q8T,6QQ3,6QQC,6QQD,6QQE,6QQF,6QWW,6QWX,6QWY,6QWZ,6QX0,6QXW,6QXX,6QXY,6QY0,6QY1,6QY2,6QY4,6QY5,6RT1,6RT3,6RT9,6RTA,6S7N,6SET,6SEU,6SEX,6SIJ,6SIK,6SIL,6SIM,6W7P,6WRL,6WX5,6YBF,6YBI,6YJX,6YOB,6YOC,6YOD,6YOE,7A70,7AC2,7AVE,7AVF,7AVG,7BCU,7BCX,7BD0,7BDM,7BDZ,7BE0,7BE1,7BE2,7BEB,7BEC,7BHK,7BHL,7BMO,7BMP,7BMQ,7BMR,7BMS,7BMT,7BVO,7BYO,7BYP,7CDK,7CDM,7CDN,7CDO,7CDP,7CDQ,7CDR,7CDS,7CDT,7CDU,7CJZ,7CVJ,7CVL,7D01,7D02,7D04,7D05,7D0W,7DER,7DTB,7DTF,7E02,7F26,7FCU,7FCW,7JMU,7KNK,7L84,7LLP,7LN8,7LN9,7LOQ,7LOR,7LP6,7LPL,7LPM,7NJF,7NKF,7O2O,7OL5,7OL6,7OL7,7OL8,7P6M,7PNH,7Q0T,7Q0V,7QQ1,8OM8,8OMS,8OMT,8P1B,8P1C,8P1D,8PFU,8PFV,8PFY,8PH5,8PH8,8PTE,8PYO,8PYP,8PYQ,8RGE,8RNV,8RNW,8RNX,8RNY,8RPM,8S2U,8S2V,8SCY,8SIL,8Y9W,8YA1,8YBG,8YBH"
P00700,1,1DKK
P00701,1,2IHL
P00703,5,"135L,1JSE,1JTP,1TEW,1UAC"
P00704,1,1HHL
P00705,4,"5V8G,5V92,5V94,6D9I"
P00709,5,"1A4V,1B9O,1HML,3B0I,3B0O"
P00711,1,6IP9
P00712,2,"1FKQ,3B0K"
P00713,1,1HFX
P00717,1,1GBS
P00718,1,153L
P00719,1,3WYH
P00720,364,"102L,103L,107L,108L,109L,110L,111L,112L,113L,114L,115L,118L,119L,120L,122L,123L,125L,126L,127L,128L,129L,130L,131L,137L,138L,139L,146L,155L,156L,157L,158L,159L,160L,161L,162L,163L,164L,165L,166L,172L,173L,180L,181L,182L,183L,185L,187L,188L,191L,192L,195L,199L,1B6I,1C69,1C6E,1C6G,1C6H,1C6I,1C6J,1C6K,1C6L,1C6P,1C6Q,1CU2,1CUP,1CV3,1CV4,1CV5,1CV6,1CVK,1CX7,1D2W,1D3J,1D9W,1DYA,1DYB,1DYE,1DYF,1EPY,1G06,1G07,1G0G,1G0J,1G0K,1G0L,1G0M,1G0P,1G0Q,1G1V,1G1W,1I6S,1JTM,1KNI,1KW5,1KW7,1KY0,1L00,1L01,1L02,1L03,1L04,1L05,1L06,1L07,1L08,1L09,1L0J,1L10,1L11,1L12,1L13,1L14,1L15,1L16,1L17,1L18,1L19,1L20,1L21,1L22,1L23,1L24,1L25,1L26,1L27,1L28,1L29,1L30,1L31,1L32,1L33,1L34,1L35,1L36,1L37,1L38,1L39,1L40,1L41,1L42,1L43,1L44,1L45,1L46,1L47,1L48,1L49,1L50,1L51,1L52,1L53,1L54,1L55,1L56,1L57,1L58,1L59,1L60,1L61,1L62,1L63,1L64,1L65,1L66,1L67,1L68,1L69,1L70,1L71,1L72,1L74,1L75,1L76,1L79,1L80,1L83,1L84,1L86,1L87,1L88,1L89,1L90,1L91,1L92,1L93,1L94,1L98,1L99,1LGU,1LGW,1LI3,1LLH,1LPY,1LW9,1LWG,1LYE,1LYF,1LYG,1LYH,1LYJ,1NHB,1OVH,1P2L,1P2R,1P36,1P37,1P3N,1P46,1P56,1P64,1P6Y,1P7S,1PQD,1PQI,1PQJ,1PQM,1PQO,1QS9,1QSB,1QSQ,1QT3,1QT5,1QT6,1QT7,1QT8,1QTB,1QTH,1QUD,1QUG,1QUH,1QUO,1SWY,1SWZ,1SX2,1SX7,1T8G,200L,206L,210L,211L,212L,214L,215L,217L,219L,220L,221L,222L,223L,224L,225L,226L,228L,229L,230L,232L,233L,234L,235L,236L,237L,238L,239L,240L,241L,242L,243L,244L,245L,246L,247L,248L,249L,250L,254L,255L,256L,257L,258L,259L,260L,2F2Q,2HUL,2LZM,2O4W,2O79,2RBP,3C7W,3C7Y,3C7Z,3C80,3C81,3C82,3C83,3C8Q,3C8R,3C8S,3CDO,3CDQ,3CDR,3CDT,3CDV,3DKE,3DMV,3DMX,3DN4,3DNA,3F8V,3F9L,3FA0,3FAD,3FI5,3HH4,3HT7,3HT8,3HTG,3HUA,3L64,3LZM,3SBB,4E97,4EKP,4EKS,4EPI,4I7J,4I7K,4I7L,4I7O,4I7P,4I7Q,4I7R,4LZM,4W51,4W52,4W53,5I14,5JWT,5JWU,5KGR,5KHZ,5KI1,5KIG,5LZM,5VNR,5XPE,5XPF,6IIH,6LZM,6U0B,6WSK,7L37,7L38,7L39,7L3A,7L3B,7L3C,7L3D,7L3E,7LOA,7LOC,7LOD,7LOF,7LX8,7LZM"
P00722,8,"1DP0,1JYN,1JZ7,1JZ8,1PX3,3DYP,3T0A,3T2O"
P00727,2,"1LAM,1LAN"
P00730,11,"1ARL,1ARM,1EE3,1ELL,1F57,1M4L,1YME,1ZLH,2CTB,3KGQ,5CPA"
P00733,1,1LBU
P00734,8,"2AFQ,2GP9,3K65,3S7K,3SQE,4DT7,4RKJ,6PXJ"
P00735,2,"7A0D,7A0E"
P00736,1,6F1D
P00740,3,"1EDM,5F86,5TNO"
P00742,2,"1C5M,6Q9I"
P00746,4,"1BIO,2XW9,4CBN,4CBO"
P00747,9,"1KI0,1KRN,1PK4,5HPG,6D3X,6D3Y,6D40,6OG4,7E50"
P00748,3,"4BDX,7PRJ,7PRK"
P00749,27,"1F5K,2I9A,2O8T,3M61,3OX7,3QN7,4DVA,4GLY,4JK5,4MNV,4MNW,4OS2,4OS6,4X1N,4X1P,4X1S,4XSK,4ZHM,4ZKN,4ZKO,4ZKR,4ZKS,5HGG,5WXQ,5WXR,5YC6,5Z1C"
P00751,5,"1Q0P,6QSW,6QSX,6RAV,6T8W"
P00759,1,1TON
P00760,172,"1C1O,1C2L,1C2M,1C5V,1CE5,1EJM,1F2S,1HJ9,1J8A,1N6X,1N6Y,1P2I,1P2J,1P2K,1S0Q,1S0R,1SBW,1SFI,1TAW,1TGB,1TGC,1TGN,1TGS,1TGT,1TLD,1TPA,1TPO,1UTO,1UTQ,1V2J,1V2L,1V2M,1V2S,1V2U,1V2V,1ZR0,2AGG,2BLV,2BLW,2BTC,2BY5,2BY6,2BY7,2BY8,2BY9,2BYA,2BZA,2FI3,2FI4,2FI5,2FTL,2FTM,2G55,2G81,2J9N,2O9Q,2OTV,2OXS,2PLX,2PTC,2PTN,2TGA,2TGP,2TGT,2TIO,2UUY,2XTT,3ATK,3ATL,3BTD,3BTE,3BTF,3BTG,3BTH,3BTK,3BTM,3BTQ,3BTT,3D65,3GY7,3M7Q,3MFJ,3MI4,3OTJ,3PLB,3PTB,3PTN,3PWB,3RU4,3RXA,3RXC,3RXE,3RXF,3RXG,3RXH,3RXL,3RXP,3RXQ,3RXR,3RXU,3RXV,3T27,3TPI,3UNQ,4AOR,4B1T,4B2A,4B2B,4B2C,4GUX,4HGC,4KTS,4KTU,4NCY,4NIV,4NIW,4NIX,4TPY,4U2W,4XOJ,4Y0Y,5FXL,5JYI,5MN1,5MNA,5MNB,5MNC,5MNE,5MNF,5MNK,5MNL,5MNM,5MOP,6BVH,6DWF,6E5M,6EAT,6EAU,6EAV,6EAW,6MRQ,6SUX,6SV0,6SV6,6SV8,6SV9,6SVB,6SVD,6SVG,6SVI,6SVJ,6SVN,6SVR,6SVU,6SVV,6SVW,6SVX,6SVZ,6SW0,6SWV,6U22,6VXY,6XYG,6XYK,6YIS,6YIT,6YZA,7BS0,7BS7,7JR2,7Q0W,8UTL"
P00761,17,"1AKS,1AVW,1AVX,1EPT,1FMG,1FN6,1FNI,1H9H,1H9I,1LDT,1MCT,1QQU,1S81,1YF4,5XW1,5XWA,5XWJ"
P00763,11,"1CO7,1F5R,1F7Z,1FY8,1SLU,1YKT,3FP6,3FP7,3FP8,3TGI,3TGK"
P00766,38,"1AB9,1CHO,1GCD,1GCT,1P2M,1P2N,1P2Q,1T7C,1T8L,1T8M,1T8N,1T8O,1YPH,2CGA,2GCH,2GCT,3GCT,3RU4,4CHA,5CHA,5R42,5R43,5R44,5R45,5R46,5R47,5R48,5R49,5R4A,5R4B,5R4C,5R4D,6DI8,7JRX,7QIQ,7QIR,7QIS,7QIT"
P00770,1,3RP2
P00772,67,"1ESA,1FLE,1GVK,1GWA,1H9L,1HAX,1HAY,1HAZ,1L0Z,1L1G,1LKA,1LKB,1LVY,1MCV,1NES,1QIX,1QNJ,1UO6,1UVO,1UVP,2A7C,2A7J,2BB4,2BD2,2BD3,2BD4,2BD5,2BD7,2BD8,2BD9,2BDA,2BDC,2BLO,2BLQ,2CV3,2DE8,2DE9,2FOA,2FOB,2FOG,2FOH,2G4U,2H1U,2IOT,2OQU,2V0B,3EST,3MNB,3MNC,3MNS,3MNX,3MO3,3MO6,3MOC,3MTY,3MU0,3MU1,3MU4,3MU5,3MU8,3ODD,3ODF,4EST,5AVD,6EST,6Q8S,7FAG"
P00775,4,"1OS8,1OSS,1SGT,2FMJ"
P00776,3,"2SGA,4SGA,5SGA"
P00777,26,"1CSO,1CT0,1CT2,1CT4,1DS2,1SGD,1SGE,1SGN,1SGP,1SGQ,1SGR,1SGY,2GKV,2NU0,2NU1,2NU2,2NU3,2NU4,2QA9,2SGD,2SGE,2SGF,2SGP,2SGQ,3SGB,3SGQ"
P00778,15,"1P11,1P12,1QQ4,1QRW,1QRX,1SSX,1TAL,2ALP,2H5C,2ULL,3M7T,3M7U,3URC,3URD,3URE"
P00780,4,"1R0R,1YU6,2SEC,3UNX"
P00782,43,"1AK9,1AQN,1AU9,1GNS,1LW6,1S01,1S02,1SBH,1SUB,1SUC,1SUD,1SUE,1SUP,1TM1,1TM3,1TM4,1TM5,1TM7,1TMG,1TO1,1TO2,1V5I,1Y1K,1Y33,1Y34,1Y3B,1Y3C,1Y3D,1Y3F,1Y48,1Y4A,1YJA,1YJB,1YJC,2SIC,2ST1,3BGO,3CNQ,3CO0,3F49,3SIC,7AM3,7AM4"
P00784,7,"1KHQ,1PPN,2CIO,3E1Z,4QRV,6TCX,9PAP"
P00785,1,2ACT
P00791,1,3PSG
P00794,1,4AA8
P00798,1,3APP
P00800,52,"1FJQ,1FJW,1KEI,1LNA,1LNB,1LNC,1LND,1LNE,1LNF,1PE8,2A7G,2G4Z,2TLI,2TLX,3DNZ,3DO0,3DO1,3DO2,3EIM,3FB0,3FBO,3FXS,3LS7,3MS3,3MSN,3N21,3SSB,3TLI,4D91,4TLI,4TNL,5FSP,5FSS,5FXN,5O8N,5ONR,5UN3,5UU7,5UU9,5UUA,5UUB,5UUC,5UUD,5UUE,6LZN,6LZO,6N4W,6N4Z,6QAR,6SB9,6SCU,8TLN"
P00805,17,"1NNS,5MQ5,6NX8,6NX9,6NXA,6NXB,6PA2,6PA3,6PA4,6PA8,6PA9,6PAA,6PAC,6V23,6V26,7M11,7P9C"
P00807,3,"1ALQ,1DJA,6WGR"
P00808,8,"1I2S,1W7F,3LY3,3SOI,4M3K,4N92,5GHX,5ZFL"
P00811,14,"1KE4,1L0D,1L0E,1L0F,1L0G,3FKW,3IWI,3IWO,3IWQ,4KG6,5JOC,6T3D,6X9Y,6XG1"
P00816,12,"1DW9,1DWK,2IU7,2IUO,2IV1,2IVB,2IVG,8K6G,8K6H,8K6S,8K6U,8K6X"
P00817,12,"1E6A,1E9G,1M38,2IHP,2IK0,2IK1,2IK2,2IK4,2IK6,2IK7,2IK9,8PRK"
P00877,1,5BS2
P00883,9,"1ZAH,1ZAL,2QUT,2QUU,3DFN,3DFO,3DFQ,3DFT,5F4X"
P00889,2,"3ENJ,5UQS"
P00894,1,2F1F
P00897,1,1I7Q
P00900,1,1I7Q
P00915,4,"1HCB,6HWZ,7PLF,7QOB"
